CODIGO,DESCRIPCION,COD.BARRA,TIPO,DEPARTAMENTO,U.COMPRA,PRECIO VENTA,U.VENTA,PESABLE,STOCK CRITICO,FACTOR VENTA,ULTIMO COSTO,FECHA,RUT PROVEEDOR,NOMBRE PROVEEDOR,STOCK

00000006,SOPAIPILLAS 10UNID,0000000000006,VENTA,PANADERIA      ,UNIDAD,2500,UNIDAD,,0000000000,.70,,00/00/0000,,,-142
00000100,1+1 SOPROLE 140G,7802900337049,VENTA,LACTEOS        ,UNIDAD,850,UNIDAD,,0000000000,.70,478,00/00/0000,,,-43
00000101,1+1 SOPROLE CHOCOKRISPIS 140G,7802900332419,VENTA,LACTEOS        ,UNIDAD,850,UNIDAD,,0000000000,.70,404,00/00/0000,,,-46
00000102,9 LIVES GATITOS 8K,7790142000794,VENTA,,,23650,UNIDAD,,,,,00/00/0000,,,0
00000105,9LIVES GATITOS,0205150000000,VENTA,,,3350,UNIDAD,,,,,00/00/0000,,,0
00000106,PLATEADA,0201210000000,VENTA,CARNICERIA     ,KILO,9950,UNIDAD,,0000000000,.65,9990,07/02/2024,0965180702,CARNES ÑUBLE SA,1.89
00000108,ABOLENGO MINI 3R,7806500404736,VENTA,ARTICULOS DE AS,UNIDAD,1400,UNIDAD,,0000000000,.70,827,15/02/2024,0702511003,CENTRAL DE COMPRAS LA CALERA S.A,-165
00000109,ABOLENGO XL 100M,7806500406389,VENTA,ARTICULOS DE AS,UNIDAD,3700,UNIDAD,,0000000000,.70,2176,15/02/2024,0702511003,CENTRAL DE COMPRAS LA CALERA S.A,-129
00000110,ABRELATAS,5481214548465,VENTA,HOGAR          ,UNIDAD,1550,UNIDAD,,0000000000,.70,890,00/00/0000,,,0
00000111,ABRILLANTADOR VIRGINIA 400ML,7805040001849,VENTA,,,1700,UNIDAD,,,,,00/00/0000,,,-1
00000112,ABSOLUT VODKA 40 750CC,7312040017010,VENTA,BEBIDAS ALCOHOL,UNIDAD,12990,UNIDAD,,0000000000,.80,9236,00/00/0000,,,-2
00000113,ACCESORIO HALLOWEEN,6958816971844,VENTA,,,1600,UNIDAD,,,,,00/00/0000,,,0
00000114,ACE NATURALS MANZANILLA 400G,7500435146364,VENTA,,,1600,UNIDAD,,,,,00/00/0000,,,0
00000115,ACE NATURALS MANZANILLA 800G,7500435146388,VENTA,ABARROTES      ,UNIDAD,3350,UNIDAD,,0000000000,.70,1990,00/00/0000,0000000000,,-9
00000116,ACEITE BELMONT 1L,7802810012029,VENTA,ABARROTES      ,UNIDAD,3400,UNIDAD,,0000000000,.70,1940,00/00/0000,,,-56
00000117,ACEITE BELMONT 250ML,7802810012531,VENTA,ABARROTES      ,UNIDAD,1500,UNIDAD,,0000000000,.70,756,28/02/2024,0702511003,CENTRAL DE COMPRAS LA CALERA S.A,-83
00000118,ACEITE COLISEO 5 LITROS,7804608220029,VENTA,,,14550,UNIDAD,,,,,00/00/0000,,,0
00000119,ACEITE COLISEO 900ML,7804608220005,VENTA,ABARROTES      ,UNIDAD,2300,UNIDAD,,0000000000,.70,1252,00/00/0000,,,-12
00000121,ACEITE DE OLIVA BANQUETE 250ML,7801420000617,VENTA,ABARROTES      ,UNIDAD,6900,UNIDAD,,0000000000,.75,4250,09/02/2024,0764815769,ASF LOGISTICA SPA,-23
00000125,ACEITE MIRAFLORES 1L,7801320019375,VENTA,,,3900,UNIDAD,,,,,00/00/0000,,,0
00000126,ACEITE NATURA 900ML,7790272008318,VENTA,,,3200,UNIDAD,,,,,00/00/0000,,,0
00000127,ACEITE NATURA 900ML,7790272001005,VENTA,,,4500,UNIDAD,,,,,00/00/0000,,,0
00000128,ACEITE OLIN 900ML,7804607500733,VENTA,,,2950,UNIDAD,,,,,00/00/0000,,,0
00000129,ACEITE SMARTPRICE 900ML,7794870056009,VENTA,ABARROTES      ,UNIDAD,1900,UNIDAD,,0000000000,.70,1117,11/12/2023,0762326477,CENTRAL MAYORISTA ,-1177
00000130,ACEITE VEGETAL SORENTO 500ML,7790272008721,VENTA,ABARROTES      ,UNIDAD,1450,UNIDAD,,0000000000,.70,571,28/08/2023,0762326477,CENTRAL MAYORISTA ,0
00000131,ACEITEVEGETAL CAMPO LINDO 900M,7803905000471,VENTA,,,2800,UNIDAD,,,,,00/00/0000,,,0
00000132,ACEITUNA C/AMARGO,0202130000000,VENTA,VERDURAS       ,UNIDAD,6000,UNIDAD,,0000000000,0.7,,00/00/0000,,,0
00000133,ACEITUNA S/AMARGO,0202120000000,VENTA,VERDURAS       ,UNIDAD,6500,UNIDAD,,0000000000,.70,0,00/00/0000,,,0
00000136,ACEITUNAS DE HUASCO DON JUAN 200G,7802351121204,VENTA,ABARROTES      ,UNIDAD,2500,UNIDAD,,0000000000,.70,1440,00/00/0000,,,-9
00000137,ACEITUNAS SEVILLANAS DON JUAN 200G,7802351131203,VENTA,ABARROTES      ,UNIDAD,3600,UNIDAD,,0000000000,.70,2080,08/08/2023,093178000K,IMPORTADORA CAFE DO BRASIL S.A,-38
00000138,ACETO BALSAMICO MP 500ML,7802420103537,VENTA,,,2500,UNIDAD,,,,,00/00/0000,,,0
00000139,ACETONA 60ML,7800045002006,VENTA,,,850,UNIDAD,,,,,00/00/0000,,,-3
00000140,ACICLOVIR CREMA TOPICA 5%,7804650885894,VENTA,MEDICAMENTOS   ,UNIDAD,2150,UNIDAD,,0000000000,0.7,,00/00/0000,,,-3
00000141,ACON ELVIVE OLEO EXTRA 370ML,7509552847536,VENTA,ABARROTES      ,UNIDAD,3990,UNIDAD,,0000000000,0.7,2345,00/00/0000,,,-7
00000142,ACON SUAVIDAD Y BRILLO SIMOND,7804945032828,VENTA,,,2200,UNIDAD,,,,,00/00/0000,,,0
00000143,ACOND BALL BAMBU Y GINSENG 750,7804920008213,VENTA,,,1750,UNIDAD,,,,0,00/00/0000,0000000000,,-24
00000144,ACOND BALL CARBON MENTA 750ML,7804920007469,VENTA,,,1750,UNIDAD,,,,0,00/00/0000,0000000000,,-13
00000145,ACOND BALL COCO JAZMIN 750ML,7804920003058,VENTA,,,1750,UNIDAD,,,,,00/00/0000,,,-4
00000146,ACOND BALL COCO Y ARGAN 900ML,7804920005915,VENTA,,,1650,UNIDAD,,,,,00/00/0000,,,0
00000147,ACOND BALL COCO Y CACTUS 750ML,7804920005908,VENTA,,,1750,UNIDAD,,,,0,00/00/0000,0000000000,,-9
00000148,ACOND BALL GRANADA 750ML,7804920003218,VENTA,,,1750,UNIDAD,,,,,00/00/0000,,,-10
00000149,ACOND BALL HIERBAS SILVESTRES,7804920005274,VENTA,,,1950,UNIDAD,,,,,00/00/0000,,,0
